configuration,run_id,dataset,split,seed,selection,objective,sampling,model,preprocessing,augmentation,loss,trial_accuracy,window_accuracy,subject_mean_accuracy,macro_f1,kappa,retained_test,requested_test,retained_train,requested_train,parameters,seconds,peak_cuda_bytes
raspy_mil,bci2a-8d67ffd209b08da2ae6f,bci2a,A09-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7743055555555556,0.6117831541218638,0.7743055555555556,0.7767961301726334,0.6990740740740741,288,288,288,288,1444,608.8338660746813,125325824
raspy_window,bci2a-92c8e4db97047d9bdac1,bci2a,A06-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.3229166666666667,0.3185483870967742,0.3229166666666667,0.22523969611534278,0.09722222222222221,288,288,288,288,1444,433.1998817026615,125331968
raspy_whole,bci2a-933dc2b7653f40efab42,bci2a,A04-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5313675673521441,0.38888888888888884,288,288,288,288,1828,718.8996214289218,76986880
standard_window,bci2a-947388ebee523da5e083,bci2a,A07-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.6666666666666666,0.556899641577061,0.6666666666666666,0.6579752798864966,0.5555555555555556,288,288,288,288,1548,2056.7720788065344,125395456
standard_whole,bci2a-a0896351f1ddb103e1e3,bci2a,A03-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.8506944444444444,0.8506944444444444,0.8506944444444444,0.8489012231845028,0.8009259259259259,288,288,288,288,2124,1180.0289735682309,77055488
standard_whole,bci2a-a8a7c3868870e300afac,bci2a,A08-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7951388888888888,0.7951388888888888,0.7951388888888888,0.7923560934963362,0.7268518518518519,288,288,288,288,2124,732.2022555395961,77021696
raspy_window,bci2a-a9a233206ebdf297204f,bci2a,A05-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.4305555555555556,0.38564068100358423,0.4305555555555556,0.3654505981014005,0.2407407407407407,288,288,288,288,1444,1993.171532748267,125424128
raspy_window,bci2a-aaf8d05b19ccef07decc,bci2a,A03-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7708333333333334,0.6694668458781362,0.7708333333333334,0.7410986162124102,0.6944444444444444,288,288,288,288,1444,1957.9532867148519,125424128
standard_whole,bci2a-b5217e07d9d819d69af8,bci2a,A05-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.5694444444444444,0.5694444444444444,0.5694444444444444,0.5667003530331204,0.42592592592592593,288,288,288,288,2124,402.642229096964,77004800
raspy_window,bci2a-b5e7e2337cbce126d5af,bci2a,A08-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7083333333333334,0.6052867383512545,0.7083333333333334,0.711440939620024,0.6111111111111112,288,288,288,288,1444,2314.5868613496423,125454848
standard_mil,bci2a-b7f34eea11534e9c94dd,bci2a,A03-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.8611111111111112,0.6804435483870968,0.8611111111111112,0.8579864872998676,0.8148148148148149,288,288,288,288,1548,891.3339962866157,125336064
standard_window,bci2a-c02b5ea03e5abb5548d7,bci2a,A04-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.5763888888888888,0.4652777777777778,0.5763888888888888,0.5721471924302113,0.43518518518518523,288,288,288,288,1548,1559.0965530350804,125350912
raspy_whole,bci2a-c369bcc6323eb9ac3fd8,bci2a,A07-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7682253361061309,0.6944444444444444,288,288,288,288,1828,779.3998055774719,77037568
standard_window,bci2a-c427700a0ee7b0d8169a,bci2a,A05-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.4965277777777778,0.41364247311827956,0.4965277777777778,0.4740090826858977,0.3287037037037037,288,288,288,288,1548,2312.6795630306005,125410304
standard_window,bci2a-c4ce94b10dd862c7d2b9,bci2a,A02-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.4930555555555556,0.415994623655914,0.4930555555555556,0.4282680256883898,0.32407407407407407,288,288,288,288,1548,1300.089364549145,125350912
raspy_mil,bci2a-c62410a5b8bd9544146d,bci2a,A02-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.5,0.37925627240143367,0.5,0.45785451844903063,0.33333333333333337,288,288,288,288,1444,757.6449874211103,125341184
standard_mil,bci2a-d1732cce5e26ad56e803,bci2a,A07-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.6284722222222222,0.5193772401433692,0.6284722222222222,0.6246997864953621,0.5046296296296297,288,288,288,288,1548,1004.3107914887369,125365760
raspy_mil,bci2a-d5849a12d54f3b8df729,bci2a,A03-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7951388888888888,0.6450492831541219,0.7951388888888888,0.7874275750805179,0.7268518518518519,288,288,288,288,1444,891.445796854794,125341184
raspy_mil,bci2a-d91f17e63d52e23b56f6,bci2a,A04-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.4826388888888889,0.39639336917562723,0.4826388888888889,0.47408982376425907,0.31018518518518523,288,288,288,288,1444,364.0798008237034,125279744
raspy_mil,bci2a-e23023b315a5e8b1fa34,bci2a,A05-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.4756944444444444,0.3840725806451613,0.4756944444444444,0.4090877245814002,0.30092592592592593,288,288,288,288,1444,1288.5506709236652,125356544
raspy_whole,bci2a-ece5b5b5fcbc5d7490a7,bci2a,A02-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.5729166666666666,0.5729166666666666,0.5729166666666666,0.5617036211239109,0.4305555555555556,288,288,288,288,1828,525.3611912690103,77003776
standard_mil,bci2a-f1c119514814c24f330f,bci2a,A02-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.5069444444444444,0.398073476702509,0.5069444444444444,0.465026075619296,0.34259259259259256,288,288,288,288,1548,756.8671531379223,125336064
